id,gitname,model_architecture,preds_dataset,run_message,abs_rel,rmse,ppd,abs_rel_std_err,rmse_std_err,ppd_std_err
81,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.2770293618890509,3.433922603838792,609.8708798604772,0.047973119465078,2.083192470685044,280.49418306562166
82,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,make_point_cloud_edge_loss_hypersim,0.3099572658645425,5.671850067773557,50.22628718183772,0.1005468354833289,3.8125364492668905,17.509979042186462
83,Andrew Healey,zoedepth,hypersim_processed/test,make_point_cloud_zoedepth_hypersim,0.3258032458816914,5.806839622237833,54.35051800757556,0.1016887152298568,3.8743142549166247,18.16401892174252
84,Andrew Healey,patchrefiner,hypersim_processed/test,make_point_cloud_patchrefiner_hypersim,0.3437326142399878,5.035016545666687,28.262623524930564,0.0779369520371934,3.0222200795428904,7.298256672090821
85,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.2770293618890509,3.433922603838792,35.81115626516169,0.047973119465078,2.083192470685044,7.97997065823754
86,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,make_point_cloud_edge_loss_hypersim,0.3099572658645425,5.671850067773557,51.63043263379412,0.1005468354833289,3.8125364492668905,17.70627940121677
87,Andrew Healey,zoedepth,hypersim_processed/test,make_point_cloud_zoedepth_hypersim,0.3258032458816914,5.806839622237833,56.71560567818749,0.1016887152298568,3.8743142549166247,18.250803072041567
88,Andrew Healey,patchrefiner,hypersim_processed/test,make_point_cloud_patchrefiner_hypersim,0.3437326142399878,5.035016545666687,28.97004009433676,0.0779369520371934,3.0222200795428904,6.717074979883034
89,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.2770293618890509,3.433922603838792,35.81115626516169,0.047973119465078,2.083192470685044,7.97997065823754
90,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,make_point_cloud_edge_loss_hypersim,0.3099572658645425,5.671850067773557,10.634725126537248,0.1005468354833289,3.8125364492668905,1.9937772377692045
91,Andrew Healey,zoedepth,hypersim_processed/test,make_point_cloud_zoedepth_hypersim,0.3258032458816914,5.806839622237833,12.291469473657369,0.1016887152298568,3.8743142549166247,2.314199384285101
92,Andrew Healey,patchrefiner,hypersim_processed/test,make_point_cloud_patchrefiner_hypersim,0.3437326142399878,5.035016545666687,12.727566042710894,0.0779369520371934,3.0222200795428904,1.6207049446707025
93,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.2770293618890509,3.433922603838792,8.604743311569473,0.047973119465078,2.083192470685044,2.147514419832368
94,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,auto_eval_edge_loss_hypersim,0.3009998495766853,3.4472397461378,7.491610114071992,0.0288379882698084,0.8283349992953445,0.7251308094528272
95,Andrew Healey,zoedepth,hypersim_processed/test,auto_eval_zoedepth_hypersim,0.3128120361576523,3.483489128892648,10.774782758434643,0.0286500192779402,0.8232973167536869,0.9716150241077168
96,Andrew Healey,unidepth,hypersim_processed/test,auto_eval_unidepth_hypersim,0.2688061549557984,2.1700992810636373,9.94888598228274,0.0414043546750848,0.4158828860458691,0.9721478031545412
97,Andrew Healey,patchrefiner,hypersim_processed/test,auto_eval_patchrefiner_hypersim,0.3114286965484745,3.412060256144623,10.048088773246157,0.0271970003286132,0.6822647751676767,0.7728911937047613
98,Andrew Healey,pixelperfectdepth_unidepth,hypersim_processed/test,auto_eval_ppd_unidepth_hypersim,0.2606648599019632,2.1549196346073893,8.194477159332104,0.0420159101546461,0.4371217665834059,1.0854155766314422
99,Andrew Healey,pixelperfectdepth_zoedepth,hypersim_processed/test,auto_eval_ppd_zoedepth_hypersim,0.3112549502025293,3.491530955133024,7.858241962603989,0.0289003834708518,0.8285571237807422,0.9599998974758068
100,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,nyu_v2_processed,auto_eval_edge_loss_nyuv2,0.080163823881954,0.362470364633982,,0.0065170938877379,0.0273256796142921,
101,Andrew Healey,zoedepth,nyu_v2_processed,auto_eval_zoedepth_nyuv2,0.076086910973987,0.344943464646563,,0.0039306390341211,0.0209763743506445,
102,Andrew Healey,unidepth,nyu_v2_processed,auto_eval_unidepth_nyuv2,0.0298220664670477,0.1647944546218453,,0.001836328286686,0.0095853925074671,
103,Andrew Healey,patchrefiner,nyu_v2_processed,auto_eval_patchrefiner_nyuv2,0.0927131667976652,0.5177955976747677,,0.0066570451795434,0.0414097108146944,
104,Andrew Healey,pixelperfectdepth_unidepth,nyu_v2_processed,auto_eval_ppd_unidepth_nyuv2,0.0411468115965042,0.2235833965871393,,0.0037762984964334,0.0203837896564984,
105,Andrew Healey,pixelperfectdepth_zoedepth,nyu_v2_processed,auto_eval_ppd_zoedepth_nyuv2,0.0758895621102855,0.3370667154270876,,0.0043500994058952,0.0219171657429566,
111,Andrew Healey,sharpdepth_lotus_zoedepth,hypersim_processed/test,auto_eval_sharpdepth_lotus_zoedepth_hypersim,0.3121750176080362,3.4889796393582406,11.078675195586635,0.0277837727210537,0.824161140525304,1.29168981291136
112,Andrew Healey,sharpdepth_lotus_unidepth,hypersim_processed/test,auto_eval_sharpdepth_lotus_unidepth_hypersim,0.2837400819477391,2.205307279585086,11.113029503961288,0.0421120585140265,0.431989665874855,1.4864210141512368
113,Andrew Healey,sharpdepth_lotus_zoedepth,nyu_v2_processed,auto_eval_sharpdepth_lotus_zoedepth_nyuv2,0.0935841046551653,0.407872153820292,,0.0066593903725464,0.0284792446109473,
114,Andrew Healey,sharpdepth_lotus_unidepth,nyu_v2_processed,auto_eval_sharpdepth_lotus_unidepth_nyuv2,0.0713011382068876,0.3130277013903915,,0.00733708001276,0.0305541053010974,
110,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,big_run_edge_loss_hypersim,0.3127122642202715,3.913160460913216,12.859834722306404,0.0145054713286186,0.3959918472274665,1.1069983805815289
111,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,big_run_edge_loss_unidepth_hypersim,0.2603591929829414,2.7696236485583685,12.869776380119324,0.0162452172240274,0.3054338708268775,1.215216778909899
112,Andrew Healey,patchrefiner,hypersim_processed/test,big_run_patchrefiner_hypersim,0.3104107370285146,3.73587634520904,15.762043357309905,0.0126161805139028,0.3243611339007832,1.0456867326346964
113,Andrew Healey,pixelperfectdepth_unidepth,hypersim_processed/test,big_run_ppd_unidepth_hypersim,0.2577954455104697,2.7241589748373105,10.694787455379595,0.0163381446295743,0.3066157728453942,0.950320256308978
114,Andrew Healey,pixelperfectdepth_zoedepth,hypersim_processed/test,big_run_ppd_zoedepth_hypersim,0.3155939408554123,3.935238758080449,10.642996787680982,0.0145163635451225,0.3985523682441785,0.9102864432843888
115,Andrew Healey,sharpdepth_lotus_zoedepth,hypersim_processed/test,big_run_sharpdepth_lotus_zoedepth_hypersim,0.3233004602122824,3.965183395821352,16.708592193249213,0.0142679759600334,0.3987713581045802,1.4965204337396487
116,Andrew Healey,sharpdepth_lotus_unidepth,hypersim_processed/test,big_run_sharpdepth_lotus_unidepth_hypersim,0.2834862990176348,2.907729569173629,17.5072390144965,0.0171042911695657,0.3166962974983054,1.6214576708012374
117,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,nyu_v2_processed,big_run_edge_loss_nyuv2,0.079574550142656,0.3691599396490727,,0.0028672348708346,0.0138190167243731,
118,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,nyu_v2_processed,big_run_edge_loss_unidepth_nyuv2,0.0536967942886586,0.2721717927109851,,0.0021934104791413,0.0120714339276311,
119,Andrew Healey,patchrefiner,nyu_v2_processed,big_run_patchrefiner_nyuv2,0.0926629675556197,0.5399306750194811,,0.0033344534044639,0.028395086666343,
120,Andrew Healey,pixelperfectdepth_unidepth,nyu_v2_processed,big_run_ppd_unidepth_nyuv2,0.0443675225629909,0.2484047481049265,,0.0016323597512831,0.0107142774470527,
121,Andrew Healey,pixelperfectdepth_zoedepth,nyu_v2_processed,big_run_ppd_zoedepth_nyuv2,0.0803474888350362,0.3618660148381439,,0.0025488097369902,0.0127053757869536,
122,Andrew Healey,sharpdepth_lotus_zoedepth,nyu_v2_processed,big_run_sharpdepth_lotus_zoedepth_nyuv2,0.1012308562876969,0.4485877412288719,,0.0035755626445721,0.0171579852029994,
123,Andrew Healey,sharpdepth_lotus_unidepth,nyu_v2_processed,big_run_sharpdepth_lotus_unidepth_nyuv2,0.0755278686412351,0.3548834487613197,,0.003532790082652,0.0170457320338791,
124,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,middlebury_processed,big_run_edge_loss_middlebury,0.4697747369720115,3.4656160916601024,,0.0449462222438832,0.5538167676859896,
125,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,middlebury_processed,big_run_edge_loss_unidepth_middlebury,0.36408700873148,2.929645129017499,,0.0491886215398171,0.5146611124726626,
126,Andrew Healey,patchrefiner,middlebury_processed,big_run_patchrefiner_middlebury,0.5126075882356856,3.72881687822964,,0.0475069241286268,0.5697930491290549,
127,Andrew Healey,pixelperfectdepth_unidepth,middlebury_processed,big_run_ppd_unidepth_middlebury,0.3631296939518318,2.9221580013586617,,0.0483641615827748,0.5135326527686114,
128,Andrew Healey,pixelperfectdepth_zoedepth,middlebury_processed,big_run_ppd_zoedepth_middlebury,0.4705237534938264,3.4290530079577,,0.0458317508083294,0.548864488527879,
129,Andrew Healey,sharpdepth_lotus_zoedepth,middlebury_processed,big_run_sharpdepth_lotus_zoedepth_middlebury,0.4730909052551258,3.4033245277119133,,0.041973906267426,0.5291447556437037,
130,Andrew Healey,sharpdepth_lotus_unidepth,middlebury_processed,big_run_sharpdepth_lotus_unidepth_middlebury,0.3669798423551207,2.950284327955368,,0.0473722731217853,0.5135861031598731,
131,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,nyu_v2_processed,add_least_squares_edge_loss_nyuv2,0.078346808009144,0.3824804097568613,,0.0076174115238661,0.0435941401809635,
